Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K)
PFOA,14.415,0.31312,-0.00030747,1.4006e-07,2.4081e-11,-824.72,165.64
C7F15OH,13.438,0.29164,-0.0002889,1.3236e-07,-2.2846e-11,-803.55,155.44
C6F13OH,11.677,0.2534,-0.00025085,1.1494e-07,-1.9842e-11,-705.78,141.33
C5F11OH,10.013,0.21486,-0.00021245,9.733e-08,-1.6804e-11,-608.21,127.61
C4F9OH,8.3241,0.17634,-0.00017406,7.9719e-08,-1.3765e-11,-510.19,113.68
C3F7OH,6.8733,0.13708,-0.0001347,6.1633e-08,-1.0635e-11,-412.21,101.53
C2F5OH,4.7496,0.1002,-9.8541e-05,4.522e-08,-7.8301e-12,-315.65,84.634
CF3OH,2.5913,0.063256,-6.1923e-05,2.8452e-08,-4.9353e-12,-211.99,69.302
PFHpA,12.695,0.27476,-0.00026931,1.2258e-07,-2.1067e-11,-726.25,151.7
PFHxA,10.971,0.23643,-0.00023117,1.0511e-07,-1.8056e-11,-627.8,137.71
PFPnA,9.2229,0.19813,-0.00019306,8.7656e-08,-1.5047e-11,-529.33,123.69
PFBA,7.4932,0.15978,-0.00015489,7.0161e-08,-1.203e-11,-430.68,110.04
PFPrA,5.734,0.12156,-0.00011689,5.2764e-08,-9.0321e-12,-331.96,96.214
TFA,3.9462,0.08361,-7.9322e-05,3.5625e-08,-6.086e-12,-250.52,80.676
C2F5,5.218,0.076149,-7.4857e-05,3.3946e-08,-5.8041e-12,-213.0,81.587
C2F6,4.4745,0.092686,-9.1877e-05,4.1959e-08,-7.2161e-12,-320.02,79.457408
C3F8,1.9759,0.054518,-1.0129e-05,-6.9031e-09,2.4466e-12,-418.32,64.110605
C4F10,8.0151,0.16889,-0.00016744,7.6472e-08,-1.3152e-11,-516.57,112.543919
C5F12,9.7925,0.20703,-0.00020533,9.3804e-08,-1.6137e-11,-615.05,126.598051
C6F14,10.98,0.23381,-0.00022478,1.0065e-07,-1.7075e-11,-713.26,136.849473
C7F16,13.078,0.28431,-0.00028241,1.2918e-07,-2.2245e-11,-811.67,153.808976
C8F18,14.412,0.32398,-0.00032223,1.4755e-07,-2.5431e-11,-909.28,166.526512
CF3H,2.8492,0.04023,-3.1465e-05,1.1792e-08,-1.7092e-12,-164.85,62.105
C2F5H,4.1197,0.080406,-7.2155e-05,3.0721e-08,-5.0147e-12,-263.33,79.748
C3F7H,5.9291,0.11846,-0.00011,4.8063e-08,-8.007e-12,-361.38,95.555
C4F9H,7.3881,0.1577,-0.00014927,6.6139e-08,-1.1136e-11,-458.61,108.51
sC4F9H,6.6609,0.16006,-0.00015202,6.7509e-08,-1.1384e-11,-457.83,107.67
C5F11H,9.373,0.19517,-0.00018633,8.3031e-08,-1.4036e-11,-556.45,123.18
C6F13H,10.96,0.23396,-0.00022504,1.008e-07,-1.7106e-11,-654.01,136.85
C7F15H,12.771,0.27204,-0.00026288,1.1812e-07,-2.0089e-11,-751.79,150.76
C8F17H,14.24,0.3113,-0.00030219,1.3622e-07,-2.3223e-11,-958.27,164.19
cC3F6,6.2633,0.099252,-9.5961e-05,4.3009e-08,-7.2926e-12,-234.7,95.930591
C3F6,6.3689,0.09903,-9.6489e-05,4.3677e-08,-7.4784e-12,-264.42,89.765305
cC4F8,6.2333,0.14106,-0.00013679,6.1391e-08,-1.0415e-11,-370.51,96.448287
1C4F8,8.2447,0.13653,-0.00013345,6.0494e-08,-1.0364e-11,-371.81,104.398839
1C4F8_OH,8.959,0.16092,-0.00015895,7.2888e-08,-1.26e-11,-419.97,44.901
2C4F8_OH,8.3784,0.16198,-0.00015979,7.3215e-08,-1.265e-11,-414.97,44.591
2C4F8,7.1603,0.14015,-0.00013764,6.256e-08,-1.0733e-11,-379.88,106.06
rC4F8,9.9754,0.13412,-0.00013135,5.9394e-08,-1.0134e-11,-296.79,107.9
1C5F10,10.062,0.17448,-0.00017105,7.7657e-08,-1.3314e-11,-470.07,119.44
2C5F10,9.1206,0.17742,-0.00017433,7.9238e-08,-1.3592e-11,-478.17,119.98
1C6F12,11.802,0.21282,-0.00020922,9.5142e-08,-1.6328e-11,-567.5,134.2
2C6F12,10.874,0.21558,-0.0002122,9.6548e-08,-1.6571e-11,-575.6,135.25
1C7F14,13.372,0.25169,-0.00024804,1.1298e-07,-1.9411e-11,-665.26,147.34
2C7F14,12.666,0.2538,-0.00025026,1.1398e-07,-1.9576e-11,-673.36,149.61
1C8F16,15.173,0.28984,-0.00028597,1.3034e-07,-2.2403e-11,-763.52,161.73
2C8F16,14.264,0.29254,-0.00028888,1.3171e-07,-2.2637e-11,-771.62,162.83
sC3F7,7.8084,0.11084,-0.00010769,4.8276e-08,-8.1682e-12,-318.55,99.051
sC4F9,8.7357,0.153,-0.00015161,6.9212e-08,-1.1899e-11,-417.63,113.918165
sC5F11,10.623,0.19066,-0.00018888,8.6216e-08,-1.4822e-11,-515.44,129.45
sC6F13,12.314,0.22917,-0.00022726,1.0382e-07,-1.7861e-11,-613.03,142.85
sC7F15,14.118,0.26726,-0.0002651,1.2113e-07,-2.0842e-11,-710.8,157.13
sC8F17,15.714,0.30607,-0.00030385,1.3894e-07,-2.3918e-11,-917.28,170.93
C2F4H2O,4.0754,0.088753,-7.9704e-05,3.4403e-08,-5.7031e-12,-264.63,80.947
PFHPAL,14.026,0.26416,-0.00026033,1.1856e-07,-2.0363e-11,-723.56,151.43
PFHXAL,12.294,0.22583,-0.00022218,1.0108e-07,-1.7349e-11,-625.09,137.47
PFPNAL,10.555,0.18749,-0.00018403,8.3596e-08,-1.4335e-11,-526.63,123.47
PFBAL,8.7828,0.1493,-0.00014605,6.6213e-08,-1.134e-11,-427.98,109.8
PFPAL,6.9898,0.11121,-0.00010823,4.8915e-08,-8.3612e-12,-329.38,95.557
TFAL,5.1988,0.073197,-7.053e-05,3.1683e-08,-5.3949e-12,-248.11,79.943
CFOH3,2.55,0.079268,-7.5949e-05,3.5195e-08,-6.1885e-12,-207.12,71.934
CH2F,5.88,0.01476,-6.5001e-06,1.0781e-09,2.8349e-15,-134.46,56.413
CF2OH2,2.252,0.072219,-7.0036e-05,3.2375e-08,-5.6632e-12,-212.82,70.375
LACTONE,3.2354,0.064148,-6.2205e-05,2.8178e-08,-4.8375e-12,-139.22,71.645
CH3,7.1829,0.0071344,9.563e-07,-1.683e-09,3.5055e-13,35.82,50.1
CF2H,4.4063,0.023832,-1.6126e-05,5.074e-09,-5.884e-13,-180.46,61.224
COOH2,1.5339,0.053254,-4.6667e-05,2.0232e-08,-3.3924e-12,-145.57,64.209
CHO2H,3.6706,0.02813,-1.5848e-05,4.0187e-09,-3.2562e-13,-88.67,59.346
CFHO,4.9136,0.018727,-8.9371e-06,1.2606e-09,1.1759e-13,-199.45,58.965
CFOH,3.9553,0.027276,-2.2138e-05,8.7735e-09,-1.3483e-12,-159.77,59.289
CFO2H,2.562,0.043465,-3.8491e-05,1.657e-08,-2.7499e-12,-147.28,63.717
CFO2,3.743,0.036252,-3.4428e-05,1.517e-08,-2.5331e-12,-80.0,64.74
CF2COHO,6.6578,0.060926,-5.5314e-05,2.4184e-08,-4.0613e-12,-269.0,78.453
COOH,5.1135,0.022545,-1.7014e-05,6.5272e-09,-9.9631e-13,-45.14,60.148
CO,7.1988,-0.0022294,5.639e-06,-3.4589e-09,6.8452e-13,-27.2,47.228
CF3CO,5.8249,0.059384,-5.8436e-05,2.6774e-08,-4.637e-12,-147.16,77.255
CHFO2,2.7681,0.043835,-3.9674e-05,1.7435e-08,-2.9453e-12,0.0,63.927
CF2O_OH,2.885,0.063918,-6.3631e-05,2.9606e-08,-5.1842e-12,0.0,70.725
TFCOH,3.1263,0.07355,-7.0999e-05,3.1939e-08,-5.4447e-12,0.0,74.839
TFCOF_OH,4.6524,0.10215,-0.0001018,4.718e-08,-8.2299e-12,0.0,85.745
HFPO-DA,10.06,0.25241,-0.00024666,1.1202e-07,-1.9219e-11,0.0,143.52
