Molecule,a0,a1,a2,a3,a4,S
2_heptene_2000_,15.650086080207855,0.2408580656950659,-0.00023162814741449142,1.0311907698397284e-07,-1.7364720772405917e-11,171.279
2_hexene_2000_,13.397696338426242,0.20462923370272795,-0.00019645150388577828,8.736455054040421e-08,-1.4701490025359476e-11,153.703
2_octene_2000_,17.758116842184695,0.2773797858193525,-0.0002670709969870175,1.1899066850175571e-07,-2.0047907778319995e-11,187.7
2_pentene_2000_,11.191663527809228,0.16843103031586024,-0.00016140479532500288,7.170032205188902e-08,-1.2057382869912203e-11,135.225
31_butene_2000_,5.0998522817621765,0.12807915673658565,-0.00011815330430960728,5.184851541887388e-08,-8.69873617581618e-12,106.099
32_fts_2000_,7.685785345937646,0.22220326830068074,-0.00019977769739248165,8.637433025041638e-08,-1.4355433508583815e-11,150.481
32_ftsa_2000_,6.799127853895944,0.22999868429727527,-0.0002045826854939325,8.811228734148329e-08,-1.463065779638839e-11,151.661
32_pentene_2000_,5.573298772609496,0.15934330937463387,-0.00014435935701087924,6.260473829553242e-08,-1.0419415330531479e-11,119.027
32ftoh_2000_,5.871959116846346,0.17920166811025492,-0.00015338035482777054,6.398299949824976e-08,-1.0362044555733974e-11,133.328
32rh_2000_,4.828037047294607,0.16760138313447312,-0.00014158484502516813,5.856598839682099e-08,-9.439227177665543e-12,122.654
33_ftca_2000_,4.8360539442076655,0.2083642533233294,-0.00018181270095218616,7.689458928728204e-08,-1.2577883179432092e-11,143.818
41_pentene_2000_,7.30486827773526,0.16431447213866743,-0.0001532599845587696,6.754704132150031e-08,-1.134958793613805e-11,124.341
42_fts_2000_,9.83248319022691,0.2586346423840081,-0.0002351279791366224,1.0220185499623929e-07,-1.70308211977499e-11,167.068
42_ftsa_2000_,8.962967259463113,0.26628097814791735,-0.00023970578541748788,1.0380940269517241e-07,-1.728017728908071e-11,168.034
42_hexene_2000_,7.807765933742103,0.19559012073733875,-0.00017953356977425976,7.835305518648068e-08,-1.3081230543221523e-11,136.394
42ftoh_2000_,7.942560896679808,0.2158624166145274,-0.00018900065683354436,7.994806957363661e-08,-1.3062717574285898e-11,146.713
42rh_2000_,6.906037143179975,0.2042326365149256,-0.000177162103323792,7.450644118786836e-08,-1.2135098481635964e-11,138.715
43_ftca_2000_,6.959596759644277,0.24489817804112246,-0.00021730663244496989,9.28030933958603e-08,-1.5269230324577165e-11,160.095
51_hexene_2000_,9.520741388301756,0.200590706438038,-0.00018845738799045408,8.330304992009807e-08,-1.40121247937941e-11,141.185
52_fts_2000_,11.982203918067002,0.29507298003892807,-0.0002704970854405319,1.1804150498923895e-07,-1.9708512599692085e-11,183.58
52_ftsa_2000_,11.083595236038544,0.30283454753117295,-0.00027522970211837466,1.197349893819141e-07,-1.997479959214843e-11,184.483
52_heptene_2000_,10.121512095655476,0.23154434602051363,-0.00021434550333944042,9.391127404193077e-08,-1.5707046774338096e-11,153.875
52ftoh_2000_,10.268458185142054,0.25176240642504516,-0.00022374066648096693,9.546815949587552e-08,-1.5681511644771717e-11,164.547
52rh_2000_,9.156916125083649,0.2403750722763398,-0.00021219371054753995,9.01773327040029e-08,-1.478203670579603e-11,156.137
53_ftca_2000_,9.091050483700279,0.28143562030601915,-0.00025280557359033017,1.0871093426511832e-07,-1.7959633780151307e-11,177.036
61_heptene_2000_,11.676258695314603,0.23707725037464253,-0.00022391771607163335,9.919852386001678e-08,-1.670127924846554e-11,158.164
62_fts_2000_,14.2379807794041,0.3312573843170899,-0.0003056091572030337,1.3376198876373325e-07,-2.2365664875678704e-11,201.207
62_ftsa_2000_,13.36691092943727,0.3389832755236462,-0.00031031883300646694,1.3544734363813674e-07,-2.2630619600505497e-11,202.345
62_octene_2000_,12.287600142213083,0.26791935273865225,-0.0002496328636341384,1.0970825668930807e-07,-1.8376966615107904e-11,170.839
62ftab_2000_,2.484387494068849,0.5486128472105034,-0.0004500030698168875,1.824769986006041e-07,-2.901812123923264e-11,266.809
62ftoh_2000_,12.336932739883942,0.2884716727754523,-0.00025943493538135073,1.1147477437472133e-07,-1.8390289291403406e-11,180.821
62rh_2000_,11.356219602956262,0.2766753888357033,-0.00024740881437752577,1.0594035804932208e-07,-1.7445711542052322e-11,173.119
71_octene_2000_,14.000391296363757,0.2729938680400069,-0.00025868980950822775,1.1474068041333017e-07,-1.9324986055835325e-11,175.951
butane1H_2000_,8.235219803518248,0.15390395325233472,-0.0001437651456778668,6.292611792770822e-08,-1.0481865375666644e-11,121.915
butene_2000_,9.996183981565496,0.12893125021379293,-0.00012251791950696904,5.4119707843514856e-08,-9.065720396606025e-12,116.505
butene_2OH_2000_,10.31213930384434,0.1535903623788783,-0.00014772317806800112,6.617772735678011e-08,-1.1216777506817266e-11,126.27
butene_OH_2000_,10.804209069134082,0.1529114000307216,-0.00014743071703500905,6.617295743298497e-08,-1.123218185128394e-11,129.926
butylallyl_2000_,11.1262914313715,0.11278229035331698,-0.00010683209704643383,4.704841296136503e-08,-7.860795347980343e-12,117.634
c2f4_2000_,6.871540342954786,0.05319113247734899,-4.907612164107393e-05,2.1294094880303636e-08,-3.528025094290399e-12,79.932
c2f4h2o_prod_2000_,3.9571249603149425,0.08926613757981922,-8.044362454274577e-05,3.483420559164866e-08,-5.790812274142354e-12,88.591
c2f4o_2000_,5.9264209282691995,0.0700270425203156,-6.596363940208993e-05,2.901919453437193e-08,-4.852521162668211e-12,86.633
c2f5_2000_,5.720102566688885,0.07359571204376153,-7.102591178788137e-05,3.167688112355282e-08,-5.338965380907723e-12,88.273
c2f5h_2000_,3.85708390604802,0.08141679698441603,-7.356564427501648e-05,3.154008251450471e-08,-5.182174134255035e-12,86.734
c2f6_2000_,5.4737897610406305,0.08836047589203493,-8.565906331353699e-05,3.833498537375189e-08,-6.478248493202443e-12,87.311
c2h6_2000_,0.4645530656754673,0.04250172847695003,-1.4510783873641264e-05,2.057028582368105e-10,5.786829349041511e-13,58.283
c3f6_2000_,8.125649714515042,0.09622220352941581,-9.336662274158271e-05,4.1796167970176645e-08,-7.063072349211552e-12,100.979
c3f7oh_2000_,8.32859726543803,0.1307635189266035,-0.00012568020695791787,5.633712075663142e-08,-9.556411217914729e-12,113.251
c4f9oh_2000_,10.326056369655033,0.16765406161881707,-0.00016156389125082017,7.243366408856203e-08,-1.2281092809374172e-11,128.591
c5_prim_sec_rad_isots_2000_,15.546452947544099,0.16698879661372382,-0.0001595884737069318,7.075145151500407e-08,-1.1880413319786953e-11,142.222
c5_rad_2000_,12.565506795191734,0.18186540349860406,-0.00017602642576189056,7.867145812911005e-08,-1.3280321287112429e-11,141.344
c5f11oh_2000_,12.509281153363869,0.20402748865009182,-0.00019687260468731604,8.824549139083647e-08,-1.495387147443239e-11,145.742
c6f13oh_2000_,14.665662836765456,0.2404341793655242,-0.00023219883762306038,1.0406189031726383e-07,-1.762714973985169e-11,162.663
c7_secondary_rad_2000_,17.14914087581319,0.25411050245354183,-0.00024618207386524195,1.1010221920214835e-07,-1.8595514017505366e-11,180.126
cbutane_diradical_2000_,11.082814787919277,0.12931963913584668,-0.0001244384428356098,5.53643059275188e-08,-9.313216864370588e-12,120.298
cf2_2000_,4.708221142893565,0.02007939101881454,-1.8443549299007897e-05,7.873091330724298e-09,-1.2781442570997115e-12,61.736
cf2coho_2000_,7.254017853055391,0.05833896962607078,-5.159289102134096e-05,2.201373319639106e-08,-3.6194658381560885e-12,84.823
cf2h_2000_,3.234032147816871,0.028934200055835923,-2.348198237292809e-05,9.367584347000184e-09,-1.4631941491760614e-12,64.327
cfo_2000_,5.982444871500497,0.013693029032688807,-1.0466470858451043e-05,3.869816995981853e-09,-5.611431458385496e-13,62.261
ch2F_2000_,5.292566309323877,0.017415580172729855,-1.0391722176900152e-05,3.367509585373908e-09,-4.656240670808387e-13,59.375
ch3_2000_,7.120311262960663,0.0073750852492298555,6.242603205761068e-07,-1.4937169699132631e-09,3.1255900645454915e-13,50.695
co_2000_,7.172870723474923,-0.002116774170147159,5.476173767726656e-06,-3.3635151390276904e-09,6.650483115600014e-13,49.234
epoxide_2000_,3.4926421262851597,0.07824117509957292,-7.534239904112104e-05,3.358696849324437e-08,-5.662692537100611e-12,82.634
fbsa_2000_,14.540985063917592,0.20689780763279922,-0.00019841186851358002,8.905536854014826e-08,-1.514233183286251e-11,150.143
fetsa_2000_,10.118999958381472,0.1343648627534625,-0.00012804852008526117,5.7555436188473945e-08,-9.818229562696956e-12,116.699
fhpsa_2000_,20.820705895034227,0.3166738311776394,-0.0003049939295486957,1.3679499702090527e-07,-2.3213986288794786e-11,200.834
fhxsa_2000_,18.66105897199578,0.2802511519718479,-0.0002696342334138491,1.2095741686512715e-07,-2.053623937570137e-11,183.588
fosa_2000_,23.02306334158303,0.3529391327716393,-0.000340153780705416,1.5252583584294817e-07,-2.5871249587083867e-11,217.699
