Molecule,a0,a1,a2,a3,a4,S(300K)
2_pentyl_2000_,10.186625668958905,0.1921877130624405,-0.00019076174362670862,8.720163987140435e-08,-1.5007463961279438e-11,127.619
2_propyl_2000_,6.636682065838088,0.11592733339043194,-0.00011501434285780057,5.254608986170979e-08,-9.038016262114592e-12,99.06
31_butene_2000_,4.192346980118647,0.13201714327687972,-0.00012381945636019047,5.515212875552522e-08,-9.371403337221392e-12,95.363
32_fts_2000_,7.3238654633676985,0.22377446596605596,-0.00020203838300103562,8.769246065983981e-08,-1.4623827357916123e-11,132.058
32_ftsa_2000_,6.524195729420689,0.23119251317619785,-0.00020630039308869373,8.911384406030339e-08,-1.48345330661519e-11,132.862
32_pentene_2000_,5.098852191277878,0.16140256978181805,-0.00014732230037594346,6.433229149714364e-08,-1.0771169603070987e-11,105.826
32ftoh_2000_,7.154117077220703,0.17363958976582525,-0.00014537733551261473,5.931700082241802e-08,-9.411945354951162e-12,118.367
32rh_2000_,5.750208243588075,0.16360109798979294,-0.0001358290128020819,5.521017856987019e-08,-8.755928201731521e-12,108.8
33_ftca_2000_,5.659202230646442,0.20479379956304816,-0.0001766753256552042,7.389937495713928e-08,-1.1967973343846174e-11,127.082
3_heptene_2000_,12.506434991061779,0.2539420072660513,-0.00025027307423330843,1.1396499421592088e-07,-1.957266818415027e-11,148.043
3_heptyl_2000_,13.900910827784992,0.26792087650538415,-0.0002659154171085751,1.2157266886551172e-07,-2.0927558863010272e-11,156.009
3_hexene_2000_,11.098518066697807,0.2146251607174692,-0.00021095592876329205,9.588026895304659e-08,-1.6444429921692794e-11,136.161
3_hexyl_2000_,12.373362954196061,0.22891560491356902,-0.00022693893365111385,1.0365652893313082e-07,-1.7830171213747435e-11,141.283
3_octene_2000_,14.414054191294605,0.2917297376587669,-0.00028775147239442196,1.3108453938073208e-07,-2.251712345791889e-11,164.184
3_octyl_2000_,15.681373926131643,0.30608506566235033,-0.0003038485129750072,1.38933300214509e-07,-2.391829386526594e-11,169.149
3_pentyl_2000_,12.373362954196061,0.22891560491356902,-0.00022693893365111385,1.0365652893313082e-07,-1.7830171213747435e-11,141.283
41_pentene_2000_,5.915016292353533,0.1703453699835309,-0.00016193751597896582,7.26064102130737e-08,-1.2379763104742936e-11,110.395
42_fts_2000_,8.98791752742149,0.26230005002024415,-0.00024040191267245284,1.0527683045813449e-07,-1.765682422280182e-11,145.438
42_ftsa_2000_,8.219260786424599,0.26950883312755125,-0.0002443501454258598,1.0651731606428084e-07,-1.7831472556900657e-11,146.033
42_hexene_2000_,6.8626994424934225,0.199691414286846,-0.00018543468648621567,8.179368215361655e-08,-1.3781794896630619e-11,119.976
42ftoh_2000_,8.723046964682812,0.21247709680853866,-0.0001841296603829049,7.710816615961579e-08,-1.2484460297817141e-11,128.552
42rh_2000_,7.3159431178886845,0.2024550703743124,-0.0001746044241648982,7.301528294261017e-08,-1.1831459505408635e-11,121.66
43_ftca_2000_,7.2848758944862695,0.24348798346193465,-0.00021527753993748252,9.162013295547533e-08,-1.5028340868011543e-11,140.153
4_heptyl_2000_,14.027386599870024,0.2674220868775619,-0.0002652502966112431,1.2120503105962338e-07,-2.0855483270984924e-11,156.054
4_octene_2000_,14.243855937564028,0.29218527105235254,-0.0002882611594053706,1.3134178803888732e-07,-2.256493056590056e-11,163.269
4_octyl_2000_,15.790070215455255,0.30567880094223787,-0.0003033099371376116,1.3863462863715533e-07,-2.38594234872731e-11,170.021
51_hexene_2000_,7.684641511097611,0.20855789622302764,-0.0001999209470716786,8.998678607798266e-08,-1.537309152254767e-11,124.024
52_fts_2000_,10.630243816373284,0.30093997313973425,-0.00027893876408396716,1.2296340302130414e-07,-2.0710662124741595e-11,158.744
52_ftsa_2000_,9.821080700409418,0.3083135081359291,-0.0002831130592790015,1.243313679084976e-07,-2.0910688558469713e-11,159.276
52_heptene_2000_,8.74416186527076,0.23752134447950185,-0.00022294547213593766,9.892544162252209e-08,-1.672801621914364e-11,134.235
52ftoh_2000_,10.612687331260762,0.25027002945293203,-0.00022159332490238518,9.421625761252697e-08,-1.5426548891422215e-11,143.165
